SMILES;pK_BHX
CC(=[O:1])c1cccnc1;0.90
C1COCC[NH:1]1;1.78
C1CSCC[NH:1]1;1.67
C1CSC[NH:1]1;1.10
C[N:1]1CCOCC1;1.56
CC(=O)c1ccc[n:1]c1;1.39
C1C[O:1]CCN1;1.10
CN1CC[O:1]CC1;0.96
C1C[S:1]CCN1;0.34
C1C[S:1]CN1;0.32
CCOC(=[O:1])C#C;0.63
CCOC=[O:1];0.66
CCOC(=[O:1])CCl;0.67
CCOC(=[O:1])CF;0.74
COC(C)=[O:1];1.00
CCOC(=[O:1])C(C)(C)C;1.04
CCOC(=[O:1])Cc1ccccc1;1.05
CCOC(=[O:1])C12CC3CC(CC(C3)C1)C2;1.06
CCOC(C)=[O:1];1.07
CCOC(=[O:1])CC;1.08
CCOC(=[O:1])C(C)C;1.09
CCOC(=[O:1])C1CC1;1.12
CCOC(=[O:1])C=Cc1ccccc1;1.14
CC(C)OC(C)=[O:1];1.15
CCOC(=[O:1])c1ccc(Br)cc1;0.78
COC(=[O:1])c1ccccc1;0.89
CCOC(=[O:1])c1ccccc1;0.94
CCOC(=[O:1])c1ccc(C)cc1;1.05
CCOC(=[O:1])c1ccc(OC)cc1;1.13
CCOC(=[O:1])c1ccc(cc1)N(C)C;1.45
COC(=[O:1])OC;0.82
CCOC(=[O:1])OC;0.84
CCOC(=[O:1])OCC;0.88
CC1COC(=[O:1])O1;1.22
[O:1]=C1CCO1;0.86
CC1CC(=[O:1])O1;0.97
[O:1]=C1Oc2ccccc2C=C1;1.30
[O:1]=C1CCCO1;1.32
CC1CCC(=[O:1])O1;1.43
CC=[O:1];0.65
[O:1]=Cc1ccccc1;0.78
Clc1ccc(C=[O:1])cc1;0.63
COc1ccc(C=[O:1])cc1;1.10
CN(C)c1ccc(C=[O:1])cc1;1.53
[O:1]=CC=Cc1ccccc1;1.13
COc1ccccc1C=[O:1];1.11
CC(C)=[O:1];1.18
CCC(C)=[O:1];1.22
CC(C)C(=[O:1])C(C)C;1.08
CC(C)(C)C(=[O:1])C(C)(C)C;0.96
CC(=[O:1])C12CC3CC(CC(C3)C1)C2;1.30
[O:1]=C(C1CC1)C1CC1;1.36
CC(C)(C)C(=[O:1])C12CC3CC(CC(C3)C1)C2;1.08
[O:1]=C(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2;1.17
[O:1]=C1CCC1;1.00
[O:1]=C1CCCC1;1.27
[O:1]=C1CCCCC1;1.39
[O:1]=C1CCCCCC1;1.41
[O:1]=C1CCCCCCC1;1.45
[O:1]=C1CCCCCCCCCC1;1.20
[O:1]=C1CCCCCCCCCCC1;1.23
[O:1]=C1CCCCCCCCCCCCCC1;1.22
CC1(C)C2CCC1(C)C(=[O:1])C2;1.31
CC(=[O:1])C(Cl)(Cl)Cl;0.00
CC(=[O:1])C(Cl)Cl;0.25
ClCC(=[O:1])CCl;0.32
CC(=[O:1])CCl;0.66
CC1=CC(=[O:1])C=C(C)O1;2.50
[O:1]=C1c2ccccc2Oc2ccccc12;1.36
[O:1]=C1c2ccccc2Cc2ccccc12;1.25
CCN(CC)c1ccc(cc1)C(C)=[O:1];1.82
CN(C)c1ccc(cc1)C(C)=[O:1];1.76
CC(=[O:1])c1ccc(cc1)N1CCCCC1;1.71
COc1ccc(cc1)C(C)=[O:1];1.33
CC(=[O:1])c1ccc(cc1)C12CC3CC(CC(C3)C1)C2;1.30
CC(=[O:1])c1ccc(cc1)C(C)(C)C;1.25
CC(C)c1ccc(cc1)C(C)=[O:1];1.21
CCc1ccc(cc1)C(C)=[O:1];1.25
CC(=[O:1])c1ccc(C)cc1;1.24
CSc1ccc(cc1)C(C)=[O:1];1.21
CC(=[O:1])c1ccccc1;1.11
CC(=[O:1])c1ccc(F)cc1;1.00
CC(=[O:1])c1ccc(Cl)cc1;0.93
COc1cccc(c1)C(C)=[O:1];1.16
CC(=[O:1])c1cccc(C)c1;1.10
CC(=[O:1])c1cccc(F)c1;0.83
CC(=[O:1])c1cccc(Cl)c1;0.82
CC(=[O:1])c1cccc(c1)C(F)(F)F;0.72
CC(=[O:1])c1ccccc1Cl;0.90
COc1ccccc1C(C)=[O:1];1.34
